         395630 function calls (373519 primitive calls) in 0.982 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      183    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:124(setdefault)
      137    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap>:733(_init_module_attrs)
     1719    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:491(_verbose_message)
     2210    0.000    0.000    0.000    0.000 {built-in method builtins.getattr}
      485    0.000    0.000    0.000    0.000 enum.py:850(__setattr__)
      181    0.000    0.000    0.049    0.000 _parser.py:969(parse)
       34    0.000    0.000    0.000    0.000 {method 'search' of 're.Pattern' objects}
     1787    0.000    0.000    0.001    0.000 {built-in method builtins.hasattr}
       79    0.000    0.000    0.003    0.000 css_parser.py:472(parse_attribute_selector)
      119    0.000    0.000    0.001    0.000 enum.py:390(__setitem__)
  286/264    0.000    0.000    0.005    0.000 typing.py:392(inner)
      784    0.000    0.000    0.000    0.000 {built-in method fromkeys}
      226    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:132(_path_split)
  142/137    0.000    0.000    0.002    0.000 css_parser.py:395(freeze)
      987    0.000    0.000    0.001    0.000 {built-in method builtins.setattr}
       15    0.000    0.000    0.000    0.000 {built-in method _imp.exec_builtin}
     1052    0.000    0.000    0.001    0.000 typing.py:1134(_is_dunder)
       15    0.000    0.000    0.000    0.000 {built-in method _imp.create_builtin}
      121    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:1588(_get_spec)
      113    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:666(_classify_pyc)
        1    0.000    0.000    0.000    0.000 idnadata.py:1(<module>)
        1    0.000    0.000    0.000    0.000 entities.py:1(<module>)
    113/2    0.000    0.000    0.960    0.480 <frozen importlib._bootstrap_external>:989(exec_module)
      605    0.000    0.000    0.536    0.001 <frozen importlib._bootstrap_external>:140(_path_stat)
  137/134    0.000    0.000    0.019    0.000 <frozen importlib._bootstrap>:806(module_from_spec)
      339    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:84(_unpack_uint32)
  985/754    0.000    0.000    0.000    0.000 {built-in method builtins.hash}
      181    0.000    0.000    0.000    0.000 {built-in method _sre.compile}
      676    0.000    0.000    0.001    0.000 _compiler.py:398(_simple)
      183    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:74(__new__)
      412    0.000    0.000    0.000    0.000 _parser.py:265(getwhile)
      458    0.000    0.000    0.001    0.000 enum.py:726(__call__)
       64    0.000    0.000    0.000    0.000 functools.py:35(update_wrapper)
      181    0.000    0.000    0.030    0.000 _compiler.py:573(_code)
        1    0.000    0.000    0.418    0.418 _client.py:1(<module>)
      172    0.000    0.000    0.211    0.001 <frozen importlib._bootstrap_external>:150(_path_is_mode_type)
      142    0.000    0.000    0.000    0.000 css_parser.py:369(__init__)
      452    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:134(<genexpr>)
      974    0.000    0.000    0.000    0.000 {method 'rpartition' of 'str' objects}
      156    0.000    0.000    0.004    0.000 <frozen importlib._bootstrap>:416(__enter__)
       59    0.000    0.000    0.000    0.000 {built-in method posix.getcwd}
  196/162    0.000    0.000    0.000    0.000 _compiler.py:436(_get_literal_prefix)
      367    0.000    0.000    0.031    0.000 <frozen importlib._bootstrap_external>:1469(_path_importer_cache)
       57    0.000    0.000    0.002    0.000 typing.py:687(Union)
        1    0.000    0.000    0.002    0.002 typing_extensions.py:1(<module>)
     1754    0.000    0.000    0.000    0.000 {method 'isupper' of 'str' objects}
      113    0.000    0.000    0.147    0.001 <frozen importlib._bootstrap_external>:1202(path_stats)
        1    0.000    0.000    0.001    0.001 constant.py:1(<module>)
       22    0.000    0.000    0.002    0.000 enum.py:528(__new__)
      121    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:611(_get_cached)
      154    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:232(__init__)
      183    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:79(__init__)
      322    0.000    0.000    0.000    0.000 {method 'sub' of 're.Pattern' objects}
      458    0.000    0.000    0.000    0.000 enum.py:1129(__new__)
     1655    0.000    0.000    0.000    0.000 {built-in method _sre.unicode_iscased}
      394    0.000    0.000    0.000    0.000 enum.py:79(_is_private)
      113    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:699(_validate_timestamp_pyc)
      154    0.000    0.000    0.000    0.000 {built-in method _imp.is_builtin}
      142    0.000    0.000    0.001    0.000 css_types.py:203(__init__)
      183    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:82(remove)
      113    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:643(_check_name_wrapper)
       83    0.000    0.000    0.001    0.000 typing_extensions.py:3228(_collect_parameters)
      152    0.000    0.000    0.001    0.000 typing.py:1147(__init__)
      553    0.000    0.000    0.001    0.000 {method 'extend' of 'list' objects}
       86    0.000    0.000    0.000    0.000 css_parser.py:812(parse_combinator)
      820    0.000    0.000    0.000    0.000 {method 'group' of 're.Match' objects}
      703    0.000    0.000    0.000    0.000 _parser.py:83(groups)
       56    0.000    0.000    0.001    0.000 typing.py:1449(__getitem__)
      262    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:645(parent)
      768    0.000    0.000    0.000    0.000 {built-in method _imp.release_lock}
       91    0.000    0.000    0.000    0.000 enum.py:1551(__or__)
      199    0.000    0.000    0.001    0.000 css_types.py:360(__init__)
      154    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:445(cb)
      167    0.000    0.000    0.000    0.000 _parser.py:86(opengroup)
      160    0.000    0.000    0.197    0.001 <frozen importlib._bootstrap_external>:159(_path_isfile)
      423    0.000    0.000    0.000    0.000 enum.py:48(_is_dunder)
      717    0.000    0.000    0.000    0.000 {method 'items' of 'dict' objects}
      961    0.000    0.000    0.000    0.000 {method 'get' of 'mappingproxy' objects}
      768    0.000    0.000    0.000    0.000 {built-in method _imp.acquire_lock}
      335    0.000    0.000    0.001    0.000 typing.py:166(_type_convert)
      138    0.000    0.000    0.420    0.003 <frozen importlib._bootstrap_external>:1520(find_spec)
      285    0.000    0.000    0.000    0.000 css_parser.py:344(match)
       83    0.000    0.000    0.000    0.000 typing_extensions.py:3143(_has_generic_or_protocol_as_origin)
        1    0.000    0.000    0.141    0.141 dammit.py:1(<module>)
        1    0.000    0.000    0.002    0.002 _urlparse.py:1(<module>)
       12    0.000    0.000    0.023    0.002 <frozen importlib._bootstrap_external>:1644(_fill_cache)
      139    0.000    0.000    0.000    0.000 {built-in method _imp.find_frozen}
       27    0.000    0.000    0.000    0.000 {built-in method _abc._abc_init}
      431    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:1226(__exit__)
      114    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:48(_new_module)
      247    0.000    0.000    0.083    0.000 __init__.py:226(compile)
      372    0.000    0.000    0.000    0.000 enum.py:38(_is_descriptor)
      270    0.000    0.000    0.000    0.000 {built-in method builtins.any}
      234    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap>:632(cached)
       57    0.000    0.000    0.000    0.000 typing.py:345(_remove_dups_flatten)
      394    0.000    0.000    0.000    0.000 enum.py:59(_is_sunder)
       75    0.000    0.000    0.000    0.000 css_parser.py:542(parse_tag_pattern)
      322    0.000    0.000    0.000    0.000 css_parser.py:248(css_unescape)
      181    0.000    0.000    0.000    0.000 _parser.py:231(__init__)
        1    0.000    0.000    0.100    0.100 css_parser.py:1(<module>)
      119    0.000    0.000    0.000    0.000 typing.py:1178(__getattr__)
      341    0.000    0.000    0.003    0.000 {built-in method builtins.next}
        1    0.000    0.000    0.003    0.003 socket.py:1(<module>)
      329    0.000    0.000    0.000    0.000 {method 'pop' of 'dict' objects}
        4    0.000    0.000    0.000    0.000 typing.py:2786(<genexpr>)
       76    0.000    0.000    0.000    0.000 _parser.py:274(getuntil)
     1226    0.000    0.000    0.000    0.000 {built-in method builtins.chr}
      156    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:420(__exit__)
      361    0.000    0.000    0.000    0.000 {built-in method from_bytes}
      270    0.000    0.000    0.000    0.000 types.py:192(__init__)
      439    0.000    0.000    0.000    0.000 socket.py:89(<lambda>)
