"id","created_at","job","interview","alternate_url"
"123995843","2025-08-13T10:02:37+0300","Java-разработчик",false,"https://hh.ru/vacancy/123995843"
"123055331","2025-08-25T13:39:21+0300","Junior java разработчик",false,"https://hh.ru/vacancy/123055331"
"124414268","2025-08-25T08:45:51+0300","Backend-разработчик Java",false,"https://hh.ru/vacancy/124414268"
"123983698","2025-08-13T00:05:51+0300","Frontend Developer / Фронтэнд разработчик",false,"https://hh.ru/vacancy/123983698"
"124591924","2025-08-28T13:28:30+0300","Data Analyst",false,"https://hh.ru/vacancy/124591924"
"121368532","2025-08-20T08:04:02+0300","Директор по цифровой трансформации / Chief Digital Officer (CDO)",false,"https://hh.ru/vacancy/121368532"
"124709416","2025-09-01T12:54:33+0300","Ведущий маркетолог (EdTech)",false,"https://hh.ru/vacancy/124709416"
"124510775","2025-08-26T17:51:01+0300","Разработчик Java",false,"https://hh.ru/vacancy/124510775"
"124700053","2025-09-01T10:49:42+0300","Стажер/Младший специалист отдела аналитики данных (Data Scientist)",true,"https://hh.ru/vacancy/124700053"
"123886712","2025-08-11T11:01:23+0300","Java-разработчик",false,"https://hh.ru/vacancy/123886712"
"124633943","2025-09-01T12:44:35+0300","Java разработчик (junior+)",false,"https://hh.ru/vacancy/124633943"
"124341656","2025-08-21T17:53:58+0300","Java-разработчик",false,"https://hh.ru/vacancy/124341656"
"123812081","2025-08-08T10:39:45+0300","QA специалист",false,"https://hh.ru/vacancy/123812081"
"124724781","2025-09-01T16:20:02+0300","Аналитик в дирекцию розничных продаж",false,"https://hh.ru/vacancy/124724781"
"124712985","2025-09-01T13:49:51+0300","Руководитель отдела аналитики",false,"https://hh.ru/vacancy/124712985"
"122877167","2025-08-29T10:16:13+0300","Младший бухгалтер",false,"https://hh.ru/vacancy/122877167"
"124115134","2025-08-28T09:56:01+0300","Бухгалтер",false,"https://hh.ru/vacancy/124115134"
"123594360","2025-08-04T13:05:45+0300","Senior Frontend Developer / Старший фронтэнд разработчик",false,"https://hh.ru/vacancy/123594360"
"124730424","2025-09-01T18:24:32+0300","Data-analyst / Cпециалист по анализу данных",false,"https://hh.ru/vacancy/124730424"
"124701209","2025-09-01T11:03:26+0300","Senior Java developer",false,"https://hh.ru/vacancy/124701209"
"124715836","2025-09-01T14:30:36+0300","Data Engineer/Дата-инженер",false,"https://hh.ru/vacancy/124715836"
"124411958","2025-08-25T08:00:51+0300","HR менеджер",true,"https://hh.ru/vacancy/124411958"
"124695922","2025-09-01T09:55:44+0300","Data аналитик",false,"https://hh.ru/vacancy/124695922"
